BatteryID,BatchID,Cycle,Voltage,Current,Temperature,ChargeTime,DischargeTime,InternalResistance,Capacity,AmbientHumidity,C_Rate,SOH
BAT0001,BatchC,1,3.654513540254056,0.9175527224939849,25.888505004666268,37.61838782261661,37.044703265688824,0.052224334895177325,2.500157267479604,46.924727901909215,1.158641932357813,100.0
BAT0002,BatchD,2,3.1600996026278487,1.69743979581378,18.323278206449494,40.73445048357691,114.00719884045995,0.04955297010643109,2.491344431965809,66.13258670264743,1.2299150655340734,99.41583684208592
BAT0003,BatchA,3,3.829972082367982,0.9893808770617202,26.900989255029817,50.2124144388511,62.6819331233516,0.05032857442376798,2.4961702329473794,49.332728862090136,1.93933012144985,97.69509734914436
BAT0004,BatchC,4,3.9540138443141646,0.9490750605580225,28.052928726419115,75.01781419705067,106.02382503682763,0.05222188880767895,2.5077842364932863,52.95781288802678,1.599028537095202,97.62356247322616
BAT0005,BatchC,5,3.1960253396917877,0.8487589883117468,27.7989522396552,105.6398475491418,67.65450039419443,0.05372595634118611,2.506309889923267,49.67175920250627,0.6659026272238655,98.0181791328443
BAT0006,BatchD,6,3.125175704822259,0.694518467336353,30.403903627773108,93.11640078795457,69.67696014322644,0.05205847389862151,2.4954994599920637,59.33113183470606,0.8181951063059165,98.14941776008027
BAT0007,BatchA,7,3.174618579344831,0.884694591525149,29.16961077274452,101.01365437818424,87.08187818797884,0.05053365645613076,2.5183591822179334,52.6662431040825,1.9633649516533385,97.30520643155951
BAT0008,BatchA,8,4.052553074278203,1.0329796227108314,27.295900396142184,61.587806153348225,99.7029677348385,0.05355467005905669,2.5154092527381335,40.86395694321591,1.589698330690297,97.92582556287579
BAT0009,BatchC,9,3.6338271141076275,1.5109913122185956,24.649171442706766,66.41883674836951,33.04102358534238,0.04651604268744024,2.5037674405826076,35.82158125290585,1.8725676892169798,96.3600904089726
BAT0010,BatchB,10,3.5607131952090034,0.5938472633291774,16.69519533242004,65.43136973915514,83.38403959744208,0.04815553099698626,2.4960922356582014,54.24497555531911,0.9557921959830831,95.75502453038663
BAT0011,BatchC,11,3.128054182922825,0.8157604094980144,27.148091095662927,47.268586596405136,46.805969468763394,0.05246326844733678,2.5076464219023906,49.567198461881446,1.6128002901298886,96.31164206108252
BAT0012,BatchC,12,3.779467208108354,1.7135354604375146,26.038438435815557,35.509499232921485,61.13545660768827,0.051228216712506255,2.500285348436024,33.83902786784452,1.571004062785267,96.3787518309812
BAT0013,BatchC,13,4.041599510274108,0.7203828853756562,26.357894185976868,83.18244835445041,61.317179953969486,0.05251102730224834,2.514716001436119,45.82469863173074,0.9420349781590627,94.93746518742554
BAT0014,BatchC,14,3.9938230431881436,1.0139677197837824,18.616257120898453,119.02950150785274,72.21543061990383,0.05152881504486388,2.510991227534766,50.591056880018144,1.326224488176058,94.80698940926189
BAT0015,BatchD,15,3.7512656507769617,1.7969883827872102,19.594717297958688,45.014673445523655,60.072277068855605,0.05264189138920775,2.4721349219716457,63.0757293530236,1.4411226669054429,96.37832307946873
BAT0016,BatchA,16,3.0903344599820084,0.732387966715164,30.26576426666452,34.201633790934636,39.6625006605601,0.049971194358013615,2.470280736585166,33.044042233334494,1.2216977162411975,95.30786451074766
BAT0017,BatchD,17,3.1348764326112155,0.6241052534272848,24.802224230716725,100.15785136415397,43.106586467290626,0.052840972172159384,2.4774750091119184,43.93981392984011,1.740768059987019,95.56328496396944
BAT0018,BatchD,18,3.0591707845317897,1.2268069926200162,28.40750348686312,52.73274060162518,33.00941870049879,0.053788829056415174,2.5105227738013385,62.90624490841542,1.7493035626969842,95.13592948863715
BAT0019,BatchD,19,3.308975059790963,0.9536292669178046,25.141591880652307,104.66794248176355,72.32241767958789,0.054341101207862466,2.458973820064575,55.93695727086315,1.7759008224523352,97.01138033498975
BAT0020,BatchC,20,3.162793760592453,1.3451125467257812,25.148780697478728,93.35430003310638,115.90029253676897,0.0560271085892974,2.49789514778216,41.598332872151474,1.7051353536472442,96.61906274827659
BAT0021,BatchB,21,3.312057648302921,1.7057073357252128,29.691419029879988,115.11061833457241,40.41077012833049,0.05258819688700477,2.4967508618218592,63.81340488090569,1.232125215795717,93.90183639775263
